category	gate	logical_path	responsibility	algorithm_or_concept	category_recipe	acceptance
Project	V1	Docs/06_DEPENDENCY_LOCK.md	Record Apple SDK, package versions and licenses	Lockfile/hash checks and third-party dependency inventory	Match declared deliverable to canonical scope; resolve actual generated Playground manifest instead of fabricating metadata; keep commands and provenance reproducible.	File is current with v2 authority hierarchy; W00 evidence attached if packaging-related.
Project	V1	Docs/07_DECISION_LOG.md	Record ADRs and architecture changes	Immutable numbered decisions with reversibility and consequences	Match declared deliverable to canonical scope; resolve actual generated Playground manifest instead of fabricating metadata; keep commands and provenance reproducible.	File is current with v2 authority hierarchy; W00 evidence attached if packaging-related.
App	V1	App/PersonalAssistantApp.swift	Single SwiftUI @main app entry, scene and model container	Initialize dependency container once; scene lifecycle/test-launch	Only @main entry, create shared ModelContainer/AppContainer, navigation root; never fire network from initializer.	View/navigation state updates on owner switch and scene lifecycle without leaked old callbacks.
App	V1	App/AppContainer.swift	Dependency composition for all service protocols	Constructor injection; fake swaps; forbid service construction in views	Define public typed initializer and dependencies; publish state through @MainActor; use typed command/state and reject stale session tokens.	View/navigation state updates on owner switch and scene lifecycle without leaked old callbacks.
App	V1	App/AppSession.swift	Current user, active assistant, lock state and foreground state	MainActor observable source of truth; account-switch isolation test	Define public typed initializer and dependencies; publish state through @MainActor; use typed command/state and reject stale session tokens.	View/navigation state updates on owner switch and scene lifecycle without leaked old callbacks.
App	V1	App/AppRouter.swift	Global routes, sheets, deep links and tab selection	Typed enum navigation; restore safe route only; unknown-link rejection	Define public typed initializer and dependencies; publish state through @MainActor; use typed command/state and reject stale session tokens.	View/navigation state updates on owner switch and scene lifecycle without leaked old callbacks.
App	V1	App/CapabilityCenter.swift	Cache runtime/permission/model/locale readiness	Async refresh and invalidation; device/locale matrix; no assumed AI eligibility	Gate per actual device/OS/framework/provider/locale and permission; state unknown until probed.	View/navigation state updates on owner switch and scene lifecycle without leaked old callbacks.
App	V1	App/FeatureGate.swift	Present only genuinely supported features	Capability+release-flag+consent conjunction; disabled-reason snapshot test	Define public typed initializer and dependencies; publish state through @MainActor; use typed command/state and reject stale session tokens.	View/navigation state updates on owner switch and scene lifecycle without leaked old callbacks.
App	V1	App/ApplicationCommandBus.swift	UI and voice share domain-level entry points	Typed commands, trace IDs and serial side-effect routing; replay guard	Define public typed initializer and dependencies; publish state through @MainActor; use typed command/state and reject stale session tokens.	View/navigation state updates on owner switch and scene lifecycle without leaked old callbacks.
DesignSystem	V1	DesignSystem/AppTheme.swift	Shared semantic colors, spacing and radii	Dynamic system appearance and contrast tokens; dark-mode tests	Declare parameters as immutable value inputs and accessible labels; implement compact/regular layout and all loading/disabled/empty states; honor Dynamic Type and Reduce Motion.	Both iPhone/iPad previews, dark/light, high text size and VoiceOver description.
DesignSystem	V1	DesignSystem/AdaptiveLayout.swift	Compact/regular navigation and split-view decisions	Size classes + geometry breakpoints; rotation and split-window tests	Declare parameters as immutable value inputs and accessible labels; implement compact/regular layout and all loading/disabled/empty states; honor Dynamic Type and Reduce Motion.	Both iPhone/iPad previews, dark/light, high text size and VoiceOver description.
DesignSystem	V1	DesignSystem/AccessibleButton.swift	Shared accessible action with loading/disabled states	44-point hit target minimum goal, accessible labels and busy state	Declare parameters as immutable value inputs and accessible labels; implement compact/regular layout and all loading/disabled/empty states; honor Dynamic Type and Reduce Motion.	Both iPhone/iPad previews, dark/light, high text size and VoiceOver description.
DesignSystem	V1	DesignSystem/AsyncStateView.swift	Loading, empty, retry, permission and error presentations	Exhaustive async state enum rendering; view snapshot cases	Declare parameters as immutable value inputs and accessible labels; implement compact/regular layout and all loading/disabled/empty states; honor Dynamic Type and Reduce Motion.	Both iPhone/iPad previews, dark/light, high text size and VoiceOver description.
DesignSystem	V1	DesignSystem/AssistantStatusChip.swift	Visible local/cloud/route/voice/task status	Derive labels only from confirmed runtime state; no speculative ready state	Declare parameters as immutable value inputs and accessible labels; implement compact/regular layout and all loading/disabled/empty states; honor Dynamic Type and Reduce Motion.	Both iPhone/iPad previews, dark/light, high text size and VoiceOver description.
DesignSystem	V1	DesignSystem/MarkdownMessageView.swift	Render safe chat Markdown, tables and code	Allowlisted renderer; reject active HTML/scripts and unsafe links	Declare parameters as immutable value inputs and accessible labels; implement compact/regular layout and all loading/disabled/empty states; honor Dynamic Type and Reduce Motion.	Both iPhone/iPad previews, dark/light, high text size and VoiceOver description.
DesignSystem	V1	DesignSystem/DateAndRelativeTime.swift	Locale-aware accessible date/times and timezone display	Foundation DateFormatter/FormatStyle; DST and calendar tests	Declare parameters as immutable value inputs and accessible labels; implement compact/regular layout and all loading/disabled/empty states; honor Dynamic Type and Reduce Motion.	Both iPhone/iPad previews, dark/light, high text size and VoiceOver description.
DesignSystem	V1	DesignSystem/ConfirmationSheet.swift	Common high-impact action review surface	Show recipient, data scope, exact parameters, expiry and revoke option	Declare parameters as immutable value inputs and accessible labels; implement compact/regular layout and all loading/disabled/empty states; honor Dynamic Type and Reduce Motion.	Both iPhone/iPad previews, dark/light, high text size and VoiceOver description.
DesignSystem	V1	DesignSystem/ToastAndBanner.swift	Transient, accessible notifications and undo affordance	Priority queue/coalescing; do not hide critical failures behind a toast	Declare parameters as immutable value inputs and accessible labels; implement compact/regular layout and all loading/disabled/empty states; honor Dynamic Type and Reduce Motion.	Both iPhone/iPad previews, dark/light, high text size and VoiceOver description.
Domain	V1	Domain/Identifiers.swift	Strong typed stable IDs and owner references	Codable ID wrappers, equality and no cross-entity ID confusion	Implement Codable/Sendable value DTO, exact enum cases and a pure validate/transition function; use strong typed UUID wrappers and owner IDs.	Roundtrip encode/decode; reject missing owner, invalid state and malformed fields.
Domain	V1	Domain/UserProfile.swift	Local guest/account identity and visibility boundaries	Immutable owner ID and explicit account-state transitions	Implement Codable/Sendable value DTO, exact enum cases and a pure validate/transition function; use strong typed UUID wrappers and owner IDs.	Roundtrip encode/decode; reject missing owner, invalid state and malformed fields.
Domain	V1	Domain/AssistantProfile.swift	Maya/Saar user-owned name, avatar, locale and voice	Validate names, immutable profile ID and per-profile override inheritance	Implement Codable/Sendable value DTO, exact enum cases and a pure validate/transition function; use strong typed UUID wrappers and owner IDs.	Roundtrip encode/decode; reject missing owner, invalid state and malformed fields.
Domain	V1	Domain/Conversation.swift	Conversation title, assistant and lifecycle	Archive/delete state machine and last-message timestamp invariant	Implement Codable/Sendable value DTO, exact enum cases and a pure validate/transition function; use strong typed UUID wrappers and owner IDs.	Roundtrip encode/decode; reject missing owner, invalid state and malformed fields.
Domain	V1	Domain/Message.swift	Typed user/assistant/tool message and content parts	Stable order/sequence and monotonic delivery-state transitions	Implement Codable/Sendable value DTO, exact enum cases and a pure validate/transition function; use strong typed UUID wrappers and owner IDs.	Roundtrip encode/decode; reject missing owner, invalid state and malformed fields.
Domain	V1	Domain/Attachment.swift	Attachment references, MIME, sensitivity and size	Content hash dedup + owner-scoped app-private path, no raw URL injection	Implement Codable/Sendable value DTO, exact enum cases and a pure validate/transition function; use strong typed UUID wrappers and owner IDs.	Roundtrip encode/decode; reject missing owner, invalid state and malformed fields.
Domain	V1	Domain/TaskDefinition.swift	Immutable versioned task instruction and trigger policy	Calendar recurrence, executor class and optimistic revision control	Implement Codable/Sendable value DTO, exact enum cases and a pure validate/transition function; use strong typed UUID wrappers and owner IDs.	Roundtrip encode/decode; reject missing owner, invalid state and malformed fields.
Domain	V1	Domain/TaskRun.swift	Individual execution occurrence and progress	Formal state machine + stable occurrence/idempotency key	Implement Codable/Sendable value DTO, exact enum cases and a pure validate/transition function; use strong typed UUID wrappers and owner IDs.	Roundtrip encode/decode; reject missing owner, invalid state and malformed fields.
Domain	V1	Domain/TaskStep.swift	Ordered tool/planning step, receipts and dependencies	DAG prerequisites and skip/retry constraints	Implement Codable/Sendable value DTO, exact enum cases and a pure validate/transition function; use strong typed UUID wrappers and owner IDs.	Roundtrip encode/decode; reject missing owner, invalid state and malformed fields.
Domain	V1	Domain/ApprovalRequest.swift	Exact proposed action, risk, expiry and decision	Parameter digest binding; expired approvals rejected after edits	Implement Codable/Sendable value DTO, exact enum cases and a pure validate/transition function; use strong typed UUID wrappers and owner IDs.	Roundtrip encode/decode; reject missing owner, invalid state and malformed fields.
Domain	V1	Domain/MemoryItem.swift	Sourced memories, trust/confidence, TTL and owner	Revisioned verified vs inferred claims; delete/tombstone lifecycle	Implement Codable/Sendable value DTO, exact enum cases and a pure validate/transition function; use strong typed UUID wrappers and owner IDs.	Roundtrip encode/decode; reject missing owner, invalid state and malformed fields.
Domain	V1	Domain/AIModelDescriptor.swift	Capabilities, pricing hints, provider and context	Conservative required capability matching; unknown != true	Implement Codable/Sendable value DTO, exact enum cases and a pure validate/transition function; use strong typed UUID wrappers and owner IDs.	Roundtrip encode/decode; reject missing owner, invalid state and malformed fields.
Domain	V1	Domain/ProviderConfiguration.swift	Enabled endpoint, model allowlist and secret reference	Valid HTTPS host and no credential bytes in Codable payloads	Implement Codable/Sendable value DTO, exact enum cases and a pure validate/transition function; use strong typed UUID wrappers and owner IDs.	Roundtrip encode/decode; reject missing owner, invalid state and malformed fields.
Domain	V1	Domain/PrivacyAndConsent.swift	Privacy class, grants, disclosure and user-facing policies	Lattice ordering SECRET > SENSITIVE > PERSONAL > PUBLIC	Implement Codable/Sendable value DTO, exact enum cases and a pure validate/transition function; use strong typed UUID wrappers and owner IDs.	Roundtrip encode/decode; reject missing owner, invalid state and malformed fields.
Domain	V1	Domain/AuditAndUsage.swift	Redacted audit, invocation, token and quota DTOs	Stable trace linking, optional usage and nonnegative monotonic counters	Implement Codable/Sendable value DTO, exact enum cases and a pure validate/transition function; use strong typed UUID wrappers and owner IDs.	Roundtrip encode/decode; reject missing owner, invalid state and malformed fields.
Domain	V1	Domain/Errors.swift	Typed user-actionable domain and transport failures	Categorized retryability, privacy-safe description and recovery action	Implement Codable/Sendable value DTO, exact enum cases and a pure validate/transition function; use strong typed UUID wrappers and owner IDs.	Roundtrip encode/decode; reject missing owner, invalid state and malformed fields.
Persistence	V1	Persistence/SchemaV1.swift	Declare initial @Model classes and VersionedSchema	Explicit schema version and relationship delete rules; migration rehearsal	Declare ONLY VersionedSchema listing models, never duplicate @Model declarations.	Cold-relaunch persistence, stale-session denial, migration/corrupt store, owner filter.
Persistence	V1	Persistence/AppMigrationPlan.swift	Whitelisted lightweight/custom migrations	Dry-run from old fixture; backup-before-structural-changes and error recovery	List baseline SchemaV1, no fake migration stage to nonexistent V2; add fixture migration only with real next schema.	Cold-relaunch persistence, stale-session denial, migration/corrupt store, owner filter.
Persistence	V1	Persistence/StoreBootstrap.swift	Create ModelContainer and account-aware contexts	Fail closed on corrupt store, no silent destructive reset	Use sole @Model declarations in StoreModels; convert DTO via StoreMappers; accept explicit owner ID and current session; isolate ModelContext inside actor/main context; commit atomically or surface recovery.	Cold-relaunch persistence, stale-session denial, migration/corrupt store, owner filter.
Persistence	V1	Persistence/StoreModels.swift	SwiftData persisted shape, separate from domain DTOs	Explicit owner indexes and uniqueness constraints where supported	Own ALL actual SwiftData @Model entities, relationships and deletion rules; DTOs elsewhere.	Cold-relaunch persistence, stale-session denial, migration/corrupt store, owner filter.
Persistence	V1	Persistence/StoreMappers.swift	SwiftData ↔ Sendable value conversions	Round-trip equality; no accidental reference/actor escapes	Use sole @Model declarations in StoreModels; convert DTO via StoreMappers; accept explicit owner ID and current session; isolate ModelContext inside actor/main context; commit atomically or surface recovery.	Cold-relaunch persistence, stale-session denial, migration/corrupt store, owner filter.
Persistence	V1	Persistence/ConversationRepository.swift	Message/conversation CRUD and transaction boundary	Persist state before network requests; pagination and owner predicate	Use sole @Model declarations in StoreModels; convert DTO via StoreMappers; accept explicit owner ID and current session; isolate ModelContext inside actor/main context; commit atomically or surface recovery.	Cold-relaunch persistence, stale-session denial, migration/corrupt store, owner filter.
Persistence	V1	Persistence/TaskRepository.swift	Definitions/runs/steps and unique occurrence records	Atomic run transitions, receipt-before-retry and crash recovery	Use sole @Model declarations in StoreModels; convert DTO via StoreMappers; accept explicit owner ID and current session; isolate ModelContext inside actor/main context; commit atomically or surface recovery.	Cold-relaunch persistence, stale-session denial, migration/corrupt store, owner filter.
Persistence	V1	Persistence/MemoryRepository.swift	Scoped memory CRUD and revision history	Conflict markers, verification state, TTL and deletion propagation	Use sole @Model declarations in StoreModels; convert DTO via StoreMappers; accept explicit owner ID and current session; isolate ModelContext inside actor/main context; commit atomically or surface recovery.	Cold-relaunch persistence, stale-session denial, migration/corrupt store, owner filter.
Persistence	V1	Persistence/ConfigurationRepository.swift	Assistant profiles, model routes and preferences	Upsert with owner guard and validation before persistence	Use sole @Model declarations in StoreModels; convert DTO via StoreMappers; accept explicit owner ID and current session; isolate ModelContext inside actor/main context; commit atomically or surface recovery.	Cold-relaunch persistence, stale-session denial, migration/corrupt store, owner filter.
Persistence	V1	Persistence/AuditRepository.swift	Append-only redacted trace/action records	Monotonic event order and retention pruning; no raw tokens	Use sole @Model declarations in StoreModels; convert DTO via StoreMappers; accept explicit owner ID and current session; isolate ModelContext inside actor/main context; commit atomically or surface recovery.	Cold-relaunch persistence, stale-session denial, migration/corrupt store, owner filter.
Persistence	V1	Persistence/AttachmentRepository.swift	Manage app-private file ownership and cleanup	Hash references, temp-to-final atomic move, safe garbage collection	Use sole @Model declarations in StoreModels; convert DTO via StoreMappers; accept explicit owner ID and current session; isolate ModelContext inside actor/main context; commit atomically or surface recovery.	Cold-relaunch persistence, stale-session denial, migration/corrupt store, owner filter.
Persistence	V1	Persistence/RepositoryTransaction.swift	Serialize coordinated repository updates	Actor-confined unit-of-work; rollback on validation/persistence failure	Use sole @Model declarations in StoreModels; convert DTO via StoreMappers; accept explicit owner ID and current session; isolate ModelContext inside actor/main context; commit atomically or surface recovery.	Cold-relaunch persistence, stale-session denial, migration/corrupt store, owner filter.
Security	V1	Security/KeychainVault.swift	Create/get/rotate/delete per-user BYOK and session secrets	Use SecItem, per-user service/account namespace; locked-device tests	Separate user-owned key namespaces, SecItemAdd/CopyMatching/Update/Delete, never log secret.	Owner mismatch, revoked permission, stale approval, malicious destination and secrets in logs all fail closed.
Security	V1	Security/BiometricGate.swift	Gate sensitive screens and approved high-risk actions	LocalAuthentication policy with device-passcode fallback as configured	Deny by default, require explicit owner and session; classify data and operation; use cryptographic APIs and canonical typed payloads where relevant; redact all diagnostic events.	Owner mismatch, revoked permission, stale approval, malicious destination and secrets in logs all fail closed.
Security	V1	Security/SessionGuard.swift	Lock/unlock/profile-switch checks for all user-scoped services	Deny if owner missing or session changes mid-operation	Deny by default, require explicit owner and session; classify data and operation; use cryptographic APIs and canonical typed payloads where relevant; redact all diagnostic events.	Owner mismatch, revoked permission, stale approval, malicious destination and secrets in logs all fail closed.
Security	V1	Security/DataClassifier.swift	Classify request, attachments and context by sensitivity	Highest-class-wins aggregation, explicit user overrides with audit	Deny by default, require explicit owner and session; classify data and operation; use cryptographic APIs and canonical typed payloads where relevant; redact all diagnostic events.	Owner mismatch, revoked permission, stale approval, malicious destination and secrets in logs all fail closed.
Security	V1	Security/PermissionCoordinator.swift	Just-in-time microphone, speech, notifications and other grants	Framework status query → explanation → request; handle denied/restricted	Deny by default, require explicit owner and session; classify data and operation; use cryptographic APIs and canonical typed payloads where relevant; redact all diagnostic events.	Owner mismatch, revoked permission, stale approval, malicious destination and secrets in logs all fail closed.
Security	V1	Security/ToolPolicyEngine.swift	Independent authority on proposed model tool calls	Tool allowlist + schema + scope + source-trust + action risk + budget	Deny by default, require explicit owner and session; classify data and operation; use cryptographic APIs and canonical typed payloads where relevant; redact all diagnostic events.	Owner mismatch, revoked permission, stale approval, malicious destination and secrets in logs all fail closed.
Security	V1	Security/ApprovalCoordinator.swift	Generate/expire/resolve sensitive action confirmations	Exact payload digest + user intent + TTL; edited payload invalidates grant	Deny by default, require explicit owner and session; classify data and operation; use cryptographic APIs and canonical typed payloads where relevant; redact all diagnostic events.	Owner mismatch, revoked permission, stale approval, malicious destination and secrets in logs all fail closed.
Security	V1	Security/URLSafety.swift	Validate API, redirect, attachment and outbound-link URLs	HTTPS + allowed host + reject local/IP redirect for remote fetch paths	HTTPS allowlisted origin policy, block credentials in URLs, DNS rebinding and private address on external URL fetch, restrict redirects.	Owner mismatch, revoked permission, stale approval, malicious destination and secrets in logs all fail closed.
Security	V1	Security/Redaction.swift	Remove PII/credentials from logs, error output and telemetry	Allowlist fields and regex/key-pattern secondary scrub; log fixture tests	Deny by default, require explicit owner and session; classify data and operation; use cryptographic APIs and canonical typed payloads where relevant; redact all diagnostic events.	Owner mismatch, revoked permission, stale approval, malicious destination and secrets in logs all fail closed.
Security	V1	Security/CredentialLifecycle.swift	Connect/disconnect/rotate credential references	Per-owner key namespaces; revoke provider on auth failures	Deny by default, require explicit owner and session; classify data and operation; use cryptographic APIs and canonical typed payloads where relevant; redact all diagnostic events.	Owner mismatch, revoked permission, stale approval, malicious destination and secrets in logs all fail closed.
Security	V1	Security/EncryptionService.swift	Optional local export and future backup encryption	CryptoKit AES.GCM + HKDF domain separation + authenticated manifest	Deny by default, require explicit owner and session; classify data and operation; use cryptographic APIs and canonical typed payloads where relevant; redact all diagnostic events.	Owner mismatch, revoked permission, stale approval, malicious destination and secrets in logs all fail closed.
Security	V1	Security/PrivacyPolicyEngine.swift	Enforce local-only/cloud consent and allowed destination	Fail closed on unknown processor, unconsented fallback or missing policy	Deny by default, require explicit owner and session; classify data and operation; use cryptographic APIs and canonical typed payloads where relevant; redact all diagnostic events.	Owner mismatch, revoked permission, stale approval, malicious destination and secrets in logs all fail closed.
AIContracts	V1	AI/Contracts/AssistantModel.swift	One provider-neutral generate/stream interface	AsyncThrowingStream + explicit cancellation; fake-provider conformance	Define Sendable normalized events and strict model/tool schemas; unknown support cannot satisfy required capability; no Apple SDK types leak into domain interface.	Every provider and fake conforms; encode/decode fixtures and unknown field rejection.
AIContracts	V1	AI/Contracts/AssistantRequest.swift	Validated multimodal prompt, tools and budgets	Immutable Sendable DTO and content-part validation	Define Sendable normalized events and strict model/tool schemas; unknown support cannot satisfy required capability; no Apple SDK types leak into domain interface.	Every provider and fake conforms; encode/decode fixtures and unknown field rejection.
AIContracts	V1	AI/Contracts/AssistantEvent.swift	Normalized streaming events, completions and tool proposals	Sequence-indexed deltas, no duplicate completion events	Define Sendable normalized events and strict model/tool schemas; unknown support cannot satisfy required capability; no Apple SDK types leak into domain interface.	Every provider and fake conforms; encode/decode fixtures and unknown field rejection.
AIContracts	V1	AI/Contracts/ToolSchema.swift	Strict schema definitions for model-exposed tools	Name/version, typed parameter decoding and deny unknown fields	Define Sendable normalized events and strict model/tool schemas; unknown support cannot satisfy required capability; no Apple SDK types leak into domain interface.	Every provider and fake conforms; encode/decode fixtures and unknown field rejection.
AIContracts	V1	AI/Contracts/ModelCapabilities.swift	Formal modality/tool/privacy/context requirements	Set-inclusion matching; unknown capabilities fail hard requirements	Define Sendable normalized events and strict model/tool schemas; unknown support cannot satisfy required capability; no Apple SDK types leak into domain interface.	Every provider and fake conforms; encode/decode fixtures and unknown field rejection.
AIContracts	V1	AI/Contracts/ProviderError.swift	Provider-independent auth/quota/network/validation errors	HTTP and provider mapping; explicit Retry-After support	Define Sendable normalized events and strict model/tool schemas; unknown support cannot satisfy required capability; no Apple SDK types leak into domain interface.	Every provider and fake conforms; encode/decode fixtures and unknown field rejection.
AIContracts	V1	AI/Contracts/ModelInvocation.swift	Trace and usage summary for each call	Prompt version and model identity recorded with no raw sensitive content	Define Sendable normalized events and strict model/tool schemas; unknown support cannot satisfy required capability; no Apple SDK types leak into domain interface.	Every provider and fake conforms; encode/decode fixtures and unknown field rejection.
AIRouting	V1	AI/Routing/ModelRegistry.swift	Combine bundled and live model catalogs	TTL cache, stale marking, capability merge and manual invalidation	Perform strict eligibility filter before stable route choice; snapshot owner+trace; enforce budgets, model-tool max loops, cancellation; reconcile actual usage once.	Concurrent requests and stale session do not cross streams or double-bill; no privacy downgrade.
AIRouting	V1	AI/Routing/IntelligenceRouter.swift	Choose eligible model for each turn or task	Hard capability/privacy filters → deterministic policy preference/fallback	Implement A02 strict capability/privacy/budget filter and stable preference selection; NO numeric invented model quality scoring.	Concurrent requests and stale session do not cross streams or double-bill; no privacy downgrade.
AIRouting	V1	AI/Routing/ProviderHealthActor.swift	Track circuit breaker/rate limit per provider	CLOSED/OPEN/HALF_OPEN with cooldown and classified failures	Implement A03 breaker states CLOSED/OPEN/HALF_OPEN, Retry-After and 3 failures/5 minutes configurable.	Concurrent requests and stale session do not cross streams or double-bill; no privacy downgrade.
AIRouting	V1	AI/Routing/ProviderBudgetActor.swift	Track soft local quota/reservations and actual reported usage	Atomic reservation, release and reconciliation without negative balance	Implement reservation ledger/reconciliation with no negative balance; BYOK limits advisory.	Concurrent requests and stale session do not cross streams or double-bill; no privacy downgrade.
AIRouting	V1	AI/Routing/AssistantOrchestrator.swift	Coordinate full turn/stream/tool/memory lifecycle	Bounded model-tool loop, trace, cancellation and final persistence	Implement A04 full transaction sequence, max six continuations and 10 tool requests with owner-generation guard.	Concurrent requests and stale session do not cross streams or double-bill; no privacy downgrade.
AIRouting	V1	AI/Routing/StreamingAssembler.swift	Construct one UI transcript from delta events	Sequence check, partial recovery and bounded UI flush/coalescing	Perform strict eligibility filter before stable route choice; snapshot owner+trace; enforce budgets, model-tool max loops, cancellation; reconcile actual usage once.	Concurrent requests and stale session do not cross streams or double-bill; no privacy downgrade.
AIRouting	V1	AI/Routing/PromptRegistry.swift	Versioned assistant/planner/memory prompt templates	Immutable prompt ID and selected assistant customization as user data	Perform strict eligibility filter before stable route choice; snapshot owner+trace; enforce budgets, model-tool max loops, cancellation; reconcile actual usage once.	Concurrent requests and stale session do not cross streams or double-bill; no privacy downgrade.
AIProviders	V1	AI/Providers/OpenAICompatibleProvider.swift	Shared HTTPS chat/streaming for conforming endpoints	Endpoint normalization, strict SSE framing and tool-call JSON decoding	Implement stream event translation and index-specific partial tool argument assembly; generic protocol core.	Fixture and live BYOK tests for valid stream, auth, 429, corrupt JSON and cancellation.
AIProviders	V1	AI/Providers/GroqProvider.swift	Groq-specific auth, catalog and error mapping	Adapt OpenAI-compatible wire format without duplicating HTTP core	Delegate HTTP/SSE to shared transport; map provider wire model metadata/events/errors to canonical DTOs; never perform iOS tools here; version-specific SDK import guarded.	Fixture and live BYOK tests for valid stream, auth, 429, corrupt JSON and cancellation.
AIProviders	V1	AI/Providers/OpenRouterProvider.swift	OpenRouter headers, availability, model catalogs and usage	Normalize provider metadata; never assume free model always available	Delegate HTTP/SSE to shared transport; map provider wire model metadata/events/errors to canonical DTOs; never perform iOS tools here; version-specific SDK import guarded.	Fixture and live BYOK tests for valid stream, auth, 429, corrupt JSON and cancellation.
AIProviders	COND	AI/Providers/AppleFoundationModelProvider.swift	Use on-device Apple models on eligible OS/hardware	#available guards, SystemLanguageModel availability/locale/context checks	Conditional compile+runtime availability; probe language/hardware/model availability; no mandatory fallback assumption.	Fixture and live BYOK tests for valid stream, auth, 429, corrupt JSON and cancellation.
AIProviders	V1	AI/Providers/CustomEndpointProvider.swift	User-configured OpenAI-compatible model endpoint	TLS-only, explicit endpoint consent, limited redirect and model test	Delegate HTTP/SSE to shared transport; map provider wire model metadata/events/errors to canonical DTOs; never perform iOS tools here; version-specific SDK import guarded.	Fixture and live BYOK tests for valid stream, auth, 429, corrupt JSON and cancellation.
AIProviders	NEXT	AI/Providers/ManagedGatewayProvider.swift	Use future authenticated gateway instead of distributing app-owned secrets	Ephemeral user JWT + scoped server budgets and opaque provider key storage	Delegate HTTP/SSE to shared transport; map provider wire model metadata/events/errors to canonical DTOs; never perform iOS tools here; version-specific SDK import guarded.	Fixture and live BYOK tests for valid stream, auth, 429, corrupt JSON and cancellation.
AIProviders	NEXT	AI/Providers/SmallAIProvider.swift	Future Small AI runtime/HTTPS adapter	Capability negotiation and shared stream events; no pretend local LLM	Delegate HTTP/SSE to shared transport; map provider wire model metadata/events/errors to canonical DTOs; never perform iOS tools here; version-specific SDK import guarded.	Fixture and live BYOK tests for valid stream, auth, 429, corrupt JSON and cancellation.
AITransport	V1	AI/Transport/HTTPClient.swift	Native URLSession request, timeout and auth boundary	Ephemeral headers, deadline/cancellation and sanitized error mapping	Use URLSession with safe HTTPS destination, cancellation, bounded bytes and timeouts; parse incremental bytes rather than chunk-as-line; preserve provider-specific sentinels in adapter.	Split-frame/UTF-8/CRLF tests, redirect policy, offline, timeout, partial text.
AITransport	V1	AI/Transport/SSEDecoder.swift	Parse multiline data/event/id/retry frames and [DONE]	Incremental bounded UTF-8 line state machine; split-chunk fixtures	Implement byte incremental frame decoder from A01, preserve split UTF-8 and CRLF; enforce 1 MiB per event and bounded response.	Split-frame/UTF-8/CRLF tests, redirect policy, offline, timeout, partial text.
