category	gate	logical_path	single_responsibility	implementation_contract	owned_inputs	owned_outputs	authoritative_algorithm	required_test	scope_instruction	specific_acceptance
DesignSystem	V1	DesignSystem/MarkdownMessageView.swift	Render safe chat Markdown, tables and code	Allowlisted renderer; reject active HTML/scripts and unsafe links	appearance-aware components and design tokens	dynamic type/contrast/Reduce Motion/focus and keyboard	12 §product; 13 W03	T026/T027	Required V1 deliverable	Both iPhone/iPad previews, dark/light, high text size and VoiceOver description.
DesignSystem	V1	DesignSystem/DateAndRelativeTime.swift	Locale-aware accessible date/times and timezone display	Foundation DateFormatter/FormatStyle; DST and calendar tests	appearance-aware components and design tokens	dynamic type/contrast/Reduce Motion/focus and keyboard	12 §product; 13 W03	T026/T027	Required V1 deliverable	Both iPhone/iPad previews, dark/light, high text size and VoiceOver description.
DesignSystem	V1	DesignSystem/ConfirmationSheet.swift	Common high-impact action review surface	Show recipient, data scope, exact parameters, expiry and revoke option	appearance-aware components and design tokens	dynamic type/contrast/Reduce Motion/focus and keyboard	12 §product; 13 W03	T026/T027	Required V1 deliverable	Both iPhone/iPad previews, dark/light, high text size and VoiceOver description.
DesignSystem	V1	DesignSystem/ToastAndBanner.swift	Transient, accessible notifications and undo affordance	Priority queue/coalescing; do not hide critical failures behind a toast	appearance-aware components and design tokens	dynamic type/contrast/Reduce Motion/focus and keyboard	12 §product; 13 W03	T026/T027	Required V1 deliverable	Both iPhone/iPad previews, dark/light, high text size and VoiceOver description.
Domain	V1	Domain/Identifiers.swift	Strong typed stable IDs and owner references	Codable ID wrappers, equality and no cross-entity ID confusion	typed DTO/error/transition	deterministic validation and state-machine invariants	02 canonical; 14 B11	T001/T017	Required V1 deliverable	Roundtrip encode/decode; reject missing owner, invalid state and malformed fields.
Domain	V1	Domain/UserProfile.swift	Local guest/account identity and visibility boundaries	Immutable owner ID and explicit account-state transitions	typed DTO/error/transition	deterministic validation and state-machine invariants	02 canonical; 14 B11	T001/T017	Required V1 deliverable	Roundtrip encode/decode; reject missing owner, invalid state and malformed fields.
Domain	V1	Domain/AssistantProfile.swift	Maya/Saar user-owned name, avatar, locale and voice	Validate names, immutable profile ID and per-profile override inheritance	typed DTO/error/transition	deterministic validation and state-machine invariants	02 canonical; 14 B11	T001/T017	Required V1 deliverable	Roundtrip encode/decode; reject missing owner, invalid state and malformed fields.
Domain	V1	Domain/Conversation.swift	Conversation title, assistant and lifecycle	Archive/delete state machine and last-message timestamp invariant	typed DTO/error/transition	deterministic validation and state-machine invariants	02 canonical; 14 B11	T001/T017	Required V1 deliverable	Roundtrip encode/decode; reject missing owner, invalid state and malformed fields.
Domain	V1	Domain/Message.swift	Typed user/assistant/tool message and content parts	Stable order/sequence and monotonic delivery-state transitions	typed DTO/error/transition	deterministic validation and state-machine invariants	02 canonical; 14 B11	T001/T017	Required V1 deliverable	Roundtrip encode/decode; reject missing owner, invalid state and malformed fields.
Domain	V1	Domain/Attachment.swift	Attachment references, MIME, sensitivity and size	Content hash dedup + owner-scoped app-private path, no raw URL injection	typed DTO/error/transition	deterministic validation and state-machine invariants	14 B09	T001/T017	Required V1 deliverable	Roundtrip encode/decode; reject missing owner, invalid state and malformed fields.
Domain	V1	Domain/TaskDefinition.swift	Immutable versioned task instruction and trigger policy	Calendar recurrence, executor class and optimistic revision control	typed DTO/error/transition	deterministic validation and state-machine invariants	02 canonical; 14 B11	T001/T017	Required V1 deliverable	Roundtrip encode/decode; reject missing owner, invalid state and malformed fields.
Domain	V1	Domain/TaskRun.swift	Individual execution occurrence and progress	Formal state machine + stable occurrence/idempotency key	typed DTO/error/transition	deterministic validation and state-machine invariants	02 canonical; 14 B11	T001/T017	Required V1 deliverable	Roundtrip encode/decode; reject missing owner, invalid state and malformed fields.
Domain	V1	Domain/TaskStep.swift	Ordered tool/planning step, receipts and dependencies	DAG prerequisites and skip/retry constraints	typed DTO/error/transition	deterministic validation and state-machine invariants	02 canonical; 14 B11	T001/T017	Required V1 deliverable	Roundtrip encode/decode; reject missing owner, invalid state and malformed fields.
Domain	V1	Domain/ApprovalRequest.swift	Exact proposed action, risk, expiry and decision	Parameter digest binding; expired approvals rejected after edits	typed DTO/error/transition	deterministic validation and state-machine invariants	14 B05	T001/T017	Required V1 deliverable	Roundtrip encode/decode; reject missing owner, invalid state and malformed fields.
Domain	V1	Domain/MemoryItem.swift	Sourced memories, trust/confidence, TTL and owner	Revisioned verified vs inferred claims; delete/tombstone lifecycle	typed DTO/error/transition	deterministic validation and state-machine invariants	02 canonical; 14 B11	T001/T017	Required V1 deliverable	Roundtrip encode/decode; reject missing owner, invalid state and malformed fields.
Domain	V1	Domain/AIModelDescriptor.swift	Capabilities, pricing hints, provider and context	Conservative required capability matching; unknown != true	typed DTO/error/transition	deterministic validation and state-machine invariants	02 canonical; 14 B11	T001/T017	Required V1 deliverable	Roundtrip encode/decode; reject missing owner, invalid state and malformed fields.
Domain	V1	Domain/ProviderConfiguration.swift	Enabled endpoint, model allowlist and secret reference	Valid HTTPS host and no credential bytes in Codable payloads	typed DTO/error/transition	deterministic validation and state-machine invariants	02 canonical; 14 B11	T001/T017	Required V1 deliverable	Roundtrip encode/decode; reject missing owner, invalid state and malformed fields.
Domain	V1	Domain/PrivacyAndConsent.swift	Privacy class, grants, disclosure and user-facing policies	Lattice ordering SECRET > SENSITIVE > PERSONAL > PUBLIC	typed DTO/error/transition	deterministic validation and state-machine invariants	02 canonical; 14 B11	T001/T017	Required V1 deliverable	Roundtrip encode/decode; reject missing owner, invalid state and malformed fields.
Domain	V1	Domain/AuditAndUsage.swift	Redacted audit, invocation, token and quota DTOs	Stable trace linking, optional usage and nonnegative monotonic counters	typed DTO/error/transition	deterministic validation and state-machine invariants	02 canonical; 14 B11	T001/T017	Required V1 deliverable	Roundtrip encode/decode; reject missing owner, invalid state and malformed fields.
Domain	V1	Domain/Errors.swift	Typed user-actionable domain and transport failures	Categorized retryability, privacy-safe description and recovery action	typed DTO/error/transition	deterministic validation and state-machine invariants	02 canonical; 14 B11	T001/T017	Required V1 deliverable	Roundtrip encode/decode; reject missing owner, invalid state and malformed fields.
Persistence	V1	Persistence/SchemaV1.swift	Declare initial @Model classes and VersionedSchema	Explicit schema version and relationship delete rules; migration rehearsal	immutable DTOs / typed storage errors	@Model sole-owner, actor-scoped ModelContext, non-destructive recovery	02 §persistence; 14 B10/B11	T017/T021/S011	Required V1 deliverable	Cold-relaunch persistence, stale-session denial, migration/corrupt store, owner filter.
Persistence	V1	Persistence/AppMigrationPlan.swift	Whitelisted lightweight/custom migrations	Dry-run from old fixture; backup-before-structural-changes and error recovery	immutable DTOs / typed storage errors	@Model sole-owner, actor-scoped ModelContext, non-destructive recovery	02 §persistence; 14 B10/B11	T017/T021/S011	Required V1 deliverable	Cold-relaunch persistence, stale-session denial, migration/corrupt store, owner filter.
Persistence	V1	Persistence/StoreBootstrap.swift	Create ModelContainer and account-aware contexts	Fail closed on corrupt store, no silent destructive reset	immutable DTOs / typed storage errors	@Model sole-owner, actor-scoped ModelContext, non-destructive recovery	02 §persistence; 14 B10/B11	T017/T021/S011	Required V1 deliverable	Cold-relaunch persistence, stale-session denial, migration/corrupt store, owner filter.
Persistence	V1	Persistence/StoreModels.swift	SwiftData persisted shape, separate from domain DTOs	Explicit owner indexes and uniqueness constraints where supported	immutable DTOs / typed storage errors	@Model sole-owner, actor-scoped ModelContext, non-destructive recovery	02 §persistence; 14 B10/B11	T017/T021/S011	Required V1 deliverable	Cold-relaunch persistence, stale-session denial, migration/corrupt store, owner filter.
Persistence	V1	Persistence/StoreMappers.swift	SwiftData ↔ Sendable value conversions	Round-trip equality; no accidental reference/actor escapes	immutable DTOs / typed storage errors	@Model sole-owner, actor-scoped ModelContext, non-destructive recovery	02 §persistence; 14 B10/B11	T017/T021/S011	Required V1 deliverable	Cold-relaunch persistence, stale-session denial, migration/corrupt store, owner filter.
Persistence	V1	Persistence/ConversationRepository.swift	Message/conversation CRUD and transaction boundary	Persist state before network requests; pagination and owner predicate	immutable DTOs / typed storage errors	@Model sole-owner, actor-scoped ModelContext, non-destructive recovery	02 §persistence; 14 B10/B11	T017/T021/S011	Required V1 deliverable	Cold-relaunch persistence, stale-session denial, migration/corrupt store, owner filter.
Persistence	V1	Persistence/TaskRepository.swift	Definitions/runs/steps and unique occurrence records	Atomic run transitions, receipt-before-retry and crash recovery	immutable DTOs / typed storage errors	@Model sole-owner, actor-scoped ModelContext, non-destructive recovery	02 §persistence; 14 B10/B11	T017/T021/S011	Required V1 deliverable	Cold-relaunch persistence, stale-session denial, migration/corrupt store, owner filter.
Persistence	V1	Persistence/MemoryRepository.swift	Scoped memory CRUD and revision history	Conflict markers, verification state, TTL and deletion propagation	immutable DTOs / typed storage errors	@Model sole-owner, actor-scoped ModelContext, non-destructive recovery	02 §persistence; 14 B10/B11	T017/T021/S011	Required V1 deliverable	Cold-relaunch persistence, stale-session denial, migration/corrupt store, owner filter.
Persistence	V1	Persistence/ConfigurationRepository.swift	Assistant profiles, model routes and preferences	Upsert with owner guard and validation before persistence	immutable DTOs / typed storage errors	@Model sole-owner, actor-scoped ModelContext, non-destructive recovery	02 §persistence; 14 B10/B11	T017/T021/S011	Required V1 deliverable	Cold-relaunch persistence, stale-session denial, migration/corrupt store, owner filter.
Persistence	V1	Persistence/AuditRepository.swift	Append-only redacted trace/action records	Monotonic event order and retention pruning; no raw tokens	immutable DTOs / typed storage errors	@Model sole-owner, actor-scoped ModelContext, non-destructive recovery	02 §persistence; 14 B10/B11	T017/T021/S011	Required V1 deliverable	Cold-relaunch persistence, stale-session denial, migration/corrupt store, owner filter.
Persistence	V1	Persistence/AttachmentRepository.swift	Manage app-private file ownership and cleanup	Hash references, temp-to-final atomic move, safe garbage collection	immutable DTOs / typed storage errors	@Model sole-owner, actor-scoped ModelContext, non-destructive recovery	14 B09	T017/T021/S011	Required V1 deliverable	Cold-relaunch persistence, stale-session denial, migration/corrupt store, owner filter.
Persistence	V1	Persistence/RepositoryTransaction.swift	Serialize coordinated repository updates	Actor-confined unit-of-work; rollback on validation/persistence failure	immutable DTOs / typed storage errors	@Model sole-owner, actor-scoped ModelContext, non-destructive recovery	02 §persistence; 14 B10/B11	T017/T021/S011	Required V1 deliverable	Cold-relaunch persistence, stale-session denial, migration/corrupt store, owner filter.
Security	V1	Security/KeychainVault.swift	Create/get/rotate/delete per-user BYOK and session secrets	Use SecItem, per-user service/account namespace; locked-device tests	explicit allow/deny or secure access result	fail closed and no secret/log leakage	14 B10	T012/T020/S004/S013	Required V1 deliverable	Owner mismatch, revoked permission, stale approval, malicious destination and secrets in logs all fail closed.
Security	V1	Security/BiometricGate.swift	Gate sensitive screens and approved high-risk actions	LocalAuthentication policy with device-passcode fallback as configured	explicit allow/deny or secure access result	fail closed and no secret/log leakage	15 §§1–8; 14 B05/B10	T012/T020/S004/S013	Required V1 deliverable	Owner mismatch, revoked permission, stale approval, malicious destination and secrets in logs all fail closed.
Security	V1	Security/SessionGuard.swift	Lock/unlock/profile-switch checks for all user-scoped services	Deny if owner missing or session changes mid-operation	explicit allow/deny or secure access result	fail closed and no secret/log leakage	15 §§1–8; 14 B05/B10	T012/T020/S004/S013	Required V1 deliverable	Owner mismatch, revoked permission, stale approval, malicious destination and secrets in logs all fail closed.
Security	V1	Security/DataClassifier.swift	Classify request, attachments and context by sensitivity	Highest-class-wins aggregation, explicit user overrides with audit	explicit allow/deny or secure access result	fail closed and no secret/log leakage	15 §§1–8; 14 B05/B10	T012/T020/S004/S013	Required V1 deliverable	Owner mismatch, revoked permission, stale approval, malicious destination and secrets in logs all fail closed.
Security	V1	Security/PermissionCoordinator.swift	Just-in-time microphone, speech, notifications and other grants	Framework status query → explanation → request; handle denied/restricted	explicit allow/deny or secure access result	fail closed and no secret/log leakage	15 §§1–8; 14 B05/B10	T012/T020/S004/S013	Required V1 deliverable	Owner mismatch, revoked permission, stale approval, malicious destination and secrets in logs all fail closed.
Security	V1	Security/ToolPolicyEngine.swift	Independent authority on proposed model tool calls	Tool allowlist + schema + scope + source-trust + action risk + budget	explicit allow/deny or secure access result	fail closed and no secret/log leakage	15 §§1–8; 14 B05/B10	T012/T020/S004/S013	Required V1 deliverable	Owner mismatch, revoked permission, stale approval, malicious destination and secrets in logs all fail closed.
Security	V1	Security/ApprovalCoordinator.swift	Generate/expire/resolve sensitive action confirmations	Exact payload digest + user intent + TTL; edited payload invalidates grant	explicit allow/deny or secure access result	fail closed and no secret/log leakage	14 B05	T012/T020/S004/S013	Required V1 deliverable	Owner mismatch, revoked permission, stale approval, malicious destination and secrets in logs all fail closed.
Security	V1	Security/URLSafety.swift	Validate API, redirect, attachment and outbound-link URLs	HTTPS + allowed host + reject local/IP redirect for remote fetch paths	explicit allow/deny or secure access result	fail closed and no secret/log leakage	15 §§1–8; 14 B05/B10	T012/T020/S004/S013	Required V1 deliverable	Owner mismatch, revoked permission, stale approval, malicious destination and secrets in logs all fail closed.
Security	V1	Security/Redaction.swift	Remove PII/credentials from logs, error output and telemetry	Allowlist fields and regex/key-pattern secondary scrub; log fixture tests	explicit allow/deny or secure access result	fail closed and no secret/log leakage	15 §§1–8; 14 B05/B10	T012/T020/S004/S013	Required V1 deliverable	Owner mismatch, revoked permission, stale approval, malicious destination and secrets in logs all fail closed.
Security	V1	Security/CredentialLifecycle.swift	Connect/disconnect/rotate credential references	Per-owner key namespaces; revoke provider on auth failures	explicit allow/deny or secure access result	fail closed and no secret/log leakage	15 §§1–8; 14 B05/B10	T012/T020/S004/S013	Required V1 deliverable	Owner mismatch, revoked permission, stale approval, malicious destination and secrets in logs all fail closed.
Security	V1	Security/EncryptionService.swift	Optional local export and future backup encryption	CryptoKit AES.GCM + HKDF domain separation + authenticated manifest	explicit allow/deny or secure access result	fail closed and no secret/log leakage	15 §§1–8; 14 B05/B10	T012/T020/S004/S013	Required V1 deliverable	Owner mismatch, revoked permission, stale approval, malicious destination and secrets in logs all fail closed.
Security	V1	Security/PrivacyPolicyEngine.swift	Enforce local-only/cloud consent and allowed destination	Fail closed on unknown processor, unconsented fallback or missing policy	explicit allow/deny or secure access result	fail closed and no secret/log leakage	15 §§1–8; 14 B05/B10	T012/T020/S004/S013	Required V1 deliverable	Owner mismatch, revoked permission, stale approval, malicious destination and secrets in logs all fail closed.
AIContracts	V1	AI/Contracts/AssistantModel.swift	One provider-neutral generate/stream interface	AsyncThrowingStream + explicit cancellation; fake-provider conformance	typed stream events and capability/error contract	strict schema, Sendable and no unknown-capability optimism	02 §AI; 14 B02/B03	T005/T006/S014	Required V1 deliverable	Every provider and fake conforms; encode/decode fixtures and unknown field rejection.
AIContracts	V1	AI/Contracts/AssistantRequest.swift	Validated multimodal prompt, tools and budgets	Immutable Sendable DTO and content-part validation	typed stream events and capability/error contract	strict schema, Sendable and no unknown-capability optimism	02 §AI; 14 B02/B03	T005/T006/S014	Required V1 deliverable	Every provider and fake conforms; encode/decode fixtures and unknown field rejection.
AIContracts	V1	AI/Contracts/AssistantEvent.swift	Normalized streaming events, completions and tool proposals	Sequence-indexed deltas, no duplicate completion events	typed stream events and capability/error contract	strict schema, Sendable and no unknown-capability optimism	02 §AI; 14 B02/B03	T005/T006/S014	Required V1 deliverable	Every provider and fake conforms; encode/decode fixtures and unknown field rejection.
AIContracts	V1	AI/Contracts/ToolSchema.swift	Strict schema definitions for model-exposed tools	Name/version, typed parameter decoding and deny unknown fields	typed stream events and capability/error contract	strict schema, Sendable and no unknown-capability optimism	02 §AI; 14 B02/B03	T005/T006/S014	Required V1 deliverable	Every provider and fake conforms; encode/decode fixtures and unknown field rejection.
AIContracts	V1	AI/Contracts/ModelCapabilities.swift	Formal modality/tool/privacy/context requirements	Set-inclusion matching; unknown capabilities fail hard requirements	typed stream events and capability/error contract	strict schema, Sendable and no unknown-capability optimism	02 §AI; 14 B02/B03	T005/T006/S014	Required V1 deliverable	Every provider and fake conforms; encode/decode fixtures and unknown field rejection.
AIContracts	V1	AI/Contracts/ProviderError.swift	Provider-independent auth/quota/network/validation errors	HTTP and provider mapping; explicit Retry-After support	typed stream events and capability/error contract	strict schema, Sendable and no unknown-capability optimism	02 §AI; 14 B02/B03	T005/T006/S014	Required V1 deliverable	Every provider and fake conforms; encode/decode fixtures and unknown field rejection.
AIContracts	V1	AI/Contracts/ModelInvocation.swift	Trace and usage summary for each call	Prompt version and model identity recorded with no raw sensitive content	typed stream events and capability/error contract	strict schema, Sendable and no unknown-capability optimism	02 §AI; 14 B02/B03	T005/T006/S014	Required V1 deliverable	Every provider and fake conforms; encode/decode fixtures and unknown field rejection.
AIRouting	V1	AI/Routing/ModelRegistry.swift	Combine bundled and live model catalogs	TTL cache, stale marking, capability merge and manual invalidation	eligible model/normalized events/budget outcome	capability + privacy hard filtering and no midstream silent failover	14 B03/B04	T008/T009/S001/S007	Required V1 deliverable	Concurrent requests and stale session do not cross streams or double-bill; no privacy downgrade.
AIRouting	V1	AI/Routing/IntelligenceRouter.swift	Choose eligible model for each turn or task	Hard capability/privacy filters → deterministic policy preference/fallback	eligible model/normalized events/budget outcome	capability + privacy hard filtering and no midstream silent failover	14 B03	T008/T009/S001/S007	Required V1 deliverable	Concurrent requests and stale session do not cross streams or double-bill; no privacy downgrade.
AIRouting	V1	AI/Routing/ProviderHealthActor.swift	Track circuit breaker/rate limit per provider	CLOSED/OPEN/HALF_OPEN with cooldown and classified failures	eligible model/normalized events/budget outcome	capability + privacy hard filtering and no midstream silent failover	14 B03/B04	T008/T009/S001/S007	Required V1 deliverable	Concurrent requests and stale session do not cross streams or double-bill; no privacy downgrade.
AIRouting	V1	AI/Routing/ProviderBudgetActor.swift	Track soft local quota/reservations and actual reported usage	Atomic reservation, release and reconciliation without negative balance	eligible model/normalized events/budget outcome	capability + privacy hard filtering and no midstream silent failover	14 B03/B04	T008/T009/S001/S007	Required V1 deliverable	Concurrent requests and stale session do not cross streams or double-bill; no privacy downgrade.
AIRouting	V1	AI/Routing/AssistantOrchestrator.swift	Coordinate full turn/stream/tool/memory lifecycle	Bounded model-tool loop, trace, cancellation and final persistence	eligible model/normalized events/budget outcome	capability + privacy hard filtering and no midstream silent failover	14 B03/B04	T008/T009/S001/S007	Required V1 deliverable	Concurrent requests and stale session do not cross streams or double-bill; no privacy downgrade.
AIRouting	V1	AI/Routing/StreamingAssembler.swift	Construct one UI transcript from delta events	Sequence check, partial recovery and bounded UI flush/coalescing	eligible model/normalized events/budget outcome	capability + privacy hard filtering and no midstream silent failover	14 B01, 14 B02	T008/T009/S001/S007	Required V1 deliverable	Concurrent requests and stale session do not cross streams or double-bill; no privacy downgrade.
AIRouting	V1	AI/Routing/PromptRegistry.swift	Versioned assistant/planner/memory prompt templates	Immutable prompt ID and selected assistant customization as user data	eligible model/normalized events/budget outcome	capability + privacy hard filtering and no midstream silent failover	14 B03/B04	T008/T009/S001/S007	Required V1 deliverable	Concurrent requests and stale session do not cross streams or double-bill; no privacy downgrade.
AIProviders	V1	AI/Providers/OpenAICompatibleProvider.swift	Shared HTTPS chat/streaming for conforming endpoints	Endpoint normalization, strict SSE framing and tool-call JSON decoding	AssistantEvent stream/validated catalog	wire differences isolated, safe fallback, no guessed capabilities	14 B01–B03	T005–T010/S002	Required V1 deliverable	Fixture and live BYOK tests for valid stream, auth, 429, corrupt JSON and cancellation.
AIProviders	V1	AI/Providers/GroqProvider.swift	Groq-specific auth, catalog and error mapping	Adapt OpenAI-compatible wire format without duplicating HTTP core	AssistantEvent stream/validated catalog	wire differences isolated, safe fallback, no guessed capabilities	14 B01–B03	T005–T010/S002	Required V1 deliverable	Fixture and live BYOK tests for valid stream, auth, 429, corrupt JSON and cancellation.
AIProviders	V1	AI/Providers/OpenRouterProvider.swift	OpenRouter headers, availability, model catalogs and usage	Normalize provider metadata; never assume free model always available	AssistantEvent stream/validated catalog	wire differences isolated, safe fallback, no guessed capabilities	14 B03	T005–T010/S002	Required V1 deliverable	Fixture and live BYOK tests for valid stream, auth, 429, corrupt JSON and cancellation.
